Weight
102.7
121.3
123.7
84.9
98
90.1
144.1
133.1
70.1
102
131.5
110.7
112.2
121.4
121.7
100.7
95.2
138.2
101.6
103.9
116.4
116.5
100.9
148.3
102.9
108.2
123.6
