Count
8
12
37
5
9
20
16
5
13
18
33
35
60
4
4
55
55
99
181
15
110
27
81
122
22
30
16
22
49
67
30
45
134
10
18
60
27
32
35
45
148
16
33
43
134
181
33
60
99
10
60
81
