Density
1.303
1.319
1.411
1.362
1.45
1.145
1.396
1.29
1.576
1.218
1.346
1.33
1.505
1.228
1.389
1.341
1.427
1.371
1.428
1.428
1.143
1.571
1.388
1.164
1.214
1.209
1.455
1.29
1.31
1.192
